do	FOR WITH TAKE-ING OF TO
drag	OF TO
draw	FOR ON UPON FROM
drip	WITH
drop	OF ON FROM
drum	OF INTO ON
duck	IN
duel	WITH
dunk	IN
dupe	TAKE-ING INTO GIVE-ING-OBJECT
dust	WITH ON ONTO
earn	FOR
ease	ON
echo	WITH TO
edge	WITH
etch	IN ON
exit	INTO FROM
face	WITH TO FROM
fade	INTO
fail	TAKE-INF GIVE-INF-SUBJECT
fall	FOR WITH TAKE-ING TO INTO ON UPON
fate	TAKE-INF GIVE-INF-OBJECT
fawn	OVER ON UPON
fear	FOR TAKE-INF GIVE-INF-SUBJECT
feed	WITH TO ON
feel	TAKE-ING TAKE-INF GIVE-INF-OBJECT GIVE-ING-OBJECT
fend	FOR
fill	WITH
find	IN FOR TAKE-ING TAKE-INF GIVE-INF-OBJECT GIVE-ING-OBJECT
fire	WITH AT
fish	FOR OF
flip	TO
foil	IN
fold	IN FOR INTO
fool	TAKE-ING INTO GIVE-ING-OBJECT OUT
fork	FOR ON
form	INTO
free	OF FROM
fret	FOR ABOUT AT OVER
funk	TAKE-ING
fuss	ABOUT OVER
gain	FOR
gang	AGAINST ON
gape	AT
gasp	IN WITH AT
gawk	AT
gawp	AT
gaze	AT
gear	TO
gibe	FOR TAKE-ING AT GIVE-ING-OBJECT
gird	WITH
give	FOR TAKE-ING TO ON TAKE-INF GIVE-INF-OBJECT
glom	TO ONTO
glow	WITH
gnaw	AT
goad	TAKE-ING INTO GIVE-ING-OBJECT
grab	AT
grin	WITH AT
grow	FOR TAKE-INF
gull	TAKE-ING INTO GIVE-ING-OBJECT OUT
hack	FOR AT
hail	TAKE-ING ON FROM GIVE-ING-OBJECT
hand	TO
hang	IN WITH TO ABOUT AT OVER ON UPON FROM AROUND ONTO
hark	TO
harp	ABOUT ON
hash	TAKE-INF GIVE-INF-SUBJECT
hate	TAKE-ING TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT GIVE-ING-OBJECT
haul	TO AT ON
have	TAKE-ING TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT GIVE-ING-OBJECT
head	FOR
heap	WITH ON ONTO
hear	TAKE-ING OF ABOUT TAKE-INF GIVE-INF-OBJECT FROM GIVE-ING-OBJECT
help	WITH TAKE-ING TO TAKE-INF GIVE-INF-OBJECT GIVE-ING-OBJECT
hike	TO FROM
hint	TO AT
hire	FOR
hiss	OFF AT
hold	FOR WITH TO OVER AGAINST BY ON TAKE-INF GIVE-INF-OBJECT FROM ONTO
honk	AT
hope	FOR TAKE-INF GIVE-INF-SUBJECT
horn	ON
howl	WITH
hunt	FOR
hurl	TO
hymn	TO
iron	FOR
jeer	AT
jest	WITH
join	IN WITH TAKE-ING TO
joke	WITH ABOUT
jump	AT ON
keep	WITH TAKE-ING OF TO ABOUT OFF AT TAKE-INF GIVE-INF-OBJECT FROM GIVE-ING-OBJECT
kick	TAKE-ING OF TO AT AGAINST
knee	IN
knit	FOR
know	TAKE-ING OF ABOUT BY TAKE-INF GIVE-INF-OBJECT FROM
lace	WITH INTO
lack	FOR
land	ON
lard	WITH
lash	WITH INTO
last	FOR
lead	WITH TAKE-ING TO INTO ON TAKE-INF GIVE-INF-OBJECT
leak	TO
leap	AT OVER
leer	AT
lend	TO
levy	AGAINST ON UPON
like	TAKE-ING TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT GIVE-ING-OBJECT
line	IN WITH
link	WITH
live	THROUGH FOR WITH TAKE-ING TO OFF BY ON
load	WITH INTO ONTO
loan	TO
lock	INTO ONTO
long	FOR TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT
look	THROUGH IN FOR TAKE-ING TO ABOUT INTO AFTER AT OVER ON UPON TAKE-INF GIVE-INF-OBJECT ONTO
loop	AROUND
lose	TO BY ON
lour	AT ON UPON
love	TAKE-ING TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT
lust	FOR AFTER
mail	TO
make	FOR WITH TAKE-ING OF TO INTO AFTER AT TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT OUT
mark	FOR WITH
mask	WITH
mate	WITH
mean	FOR TAKE-ING TO TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT
meet	WITH
mesh	WITH
mess	WITH
mete	TO
mind	TAKE-ING GIVE-ING-OBJECT
mine	FOR
mint	FOR
mire	IN
miss	TAKE-ING
mist	OVER UP
moan	TAKE-ING ABOUT
mock	AT
mold	FOR
moon	OVER
moor	TO
move	FOR TO ON TAKE-INF GIVE-INF-OBJECT
muse	OVER ON UPON
nail	TO ON
name	FOR TAKE-INF GIVE-INF-OBJECT
need	TAKE-ING TAKE-INF GIVE-INF-SUBJECT
nick	FOR
nose	FOR INTO
note	TAKE-INF
ogle	AT
omit	TAKE-INF GIVE-INF-SUBJECT
ooze	FROM
open	TO
oust	FROM
pack	FOR WITH INTO ON ONTO
page	THROUGH
pall	ON UPON
palm	WITH
part	WITH FROM
pass	THROUGH TAKE-ING TO INTO OVER
pave	WITH
peck	AT
peek	AT
peel	OFF
peep	AT
pelt	WITH
pick	IN FOR WITH AFTER AT ON TAKE-INF GIVE-INF-OBJECT FROM
pile	WITH INTO ON ONTO
pine	FOR
pipe	WITH TO INTO
plan	FOR TAKE-ING ON TAKE-INF GIVE-INF-SUBJECT
play	IN FOR WITH TAKE-ING TO AT AGAINST ON
plot	AGAINST TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT
plow	THROUGH
plug	WITH
poke	AT
pore	OVER
pose	FOR TO
post	TO
pour	FOR ON
pray	FOR TO TAKE-INF GIVE-INF-OBJECT
prep	FOR
prey	ON UPON
prod	WITH TAKE-ING INTO AT GIVE-ING-OBJECT
puff	WITH AT ON
pull	FOR WITH OF TO AT ON FROM
pump	WITH INTO OUT
punt	TO
push	THROUGH FOR TAKE-ING TO INTO ON TAKE-INF GIVE-INF-OBJECT GIVE-ING-OBJECT ONTO
quit	TAKE-ING
quiz	ABOUT ON
race	WITH AGAINST TAKE-INF GIVE-INF-SUBJECT
rage	AT AGAINST
rail	AT AGAINST
rain	ON UPON DOWN
rasp	ON UPON
rave	ABOUT AT AGAINST
read	TO TAKE-INF
reek	WITH OF
rely	TAKE-ING ON UPON TAKE-INF GIVE-INF-OBJECT GIVE-ING-OBJECT
rent	FOR TO FROM
rest	FROM
ride	IN ON
ring	FOR WITH ABOUT
riot	IN
rise	AGAINST ABOVE
risk	TAKE-ING GIVE-ING-OBJECT
roam	THROUGH AROUND
roar	FOR WITH
robe	IN WITH
roll	IN FOR TO AROUND
romp	THROUGH
roof	WITH
rook	OF
root	THROUGH FOR AMONG
rope	TO
rule	OVER AGAINST ON
rush	INTO
save	FOR TAKE-ING ON FROM GIVE-ING-OBJECT
scud	BEFORE
seam	WITH
seed	IN WITH
seek	FOR AFTER TAKE-INF GIVE-INF-SUBJECT
sell	FOR OF TO AT ON
send	FOR TAKE-ING TO INTO TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT GIVE-ING-OBJECT
shed	ON UPON
ship	TO
shop	FOR
show	TO TAKE-INF GIVE-INF-OBJECT
shun	TAKE-ING
shut	FROM
side	WITH AGAINST
sift	THROUGH FROM
sigh	FOR
sign	FOR TO
sing	FOR OF TO
sink	IN TO INTO
skim	THROUGH OVER
skip	OVER
slap	ON
slip	TO INTO OUT
snag	FOR
snap	AT
soak	IN WITH
soil	WITH
sort	THROUGH OVER FROM
sour	ON
spar	WITH
spin	FOR AROUND
spot	WITH
spur	TAKE-INF GIVE-INF-OBJECT
stab	AT
star	IN
stem	TAKE-ING OF FROM
stop	TAKE-ING AT BY FROM GIVE-ING-OBJECT
stud	WITH
suit	FOR TO
swab	WITH ON ONTO
swap	FOR
swim	IN WITH
tack	TO
take	FOR WITH OF TO INTO AFTER AT ON TAKE-INF GIVE-INF-OBJECT FROM
talk	ROUND WITH TAKE-ING TO ABOUT INTO TAKE-INF GIVE-ING-OBJECT OUT AROUND
team	WITH
tear	OFF
teem	WITH
tell	OF TO AGAINST ON UPON TAKE-INF GIVE-INF-OBJECT
tend	FOR TO TAKE-INF
test	FOR
tide	OVER
tile	WITH
tilt	AT
time	TAKE-INF GIVE-INF-OBJECT
tire	OF
tone	WITH
tool	ALONG
toss	FOR TO
tote	TO
tour	ROUND
tout	FOR
trim	WITH
trip	OVER
tuck	IN INTO
tune	TO
turn	TO INTO AGAINST ON TAKE-INF GIVE-INF-SUBJECT FROM
twin	WITH
twit	WITH ABOUT ON
urge	ON TAKE-INF GIVE-INF-OBJECT
vary	IN TO FROM BETWEEN
veil	IN WITH
vent	ON
vest	IN WITH
vote	FOR TO INTO AGAINST ON TAKE-INF GIVE-INF-SUBJECT ONTO
wade	THROUGH INTO
wage	AGAINST ON
wail	FOR WITH ABOUT OVER
wait	FOR ON UPON TAKE-INF GIVE-INF-SUBJECT
wall	IN
want	FOR TAKE-ING TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT GIVE-ING-OBJECT
warm	TO TOWARDS TOWARD
warn	TAKE-ING OF OFF AGAINST TAKE-INF GIVE-INF-OBJECT GIVE-ING-OBJECT
wash	FOR WITH OF OFF OVER AGAINST
wave	TO
wean	TAKE-ING FROM GIVE-ING-OBJECT
weep	OVER
weld	TO
will	TO TAKE-INF GIVE-INF-OBJECT
wind	AROUND
wink	AT
wire	TO ABOUT TAKE-INF GIVE-INF-OBJECT
wish	FOR TO ON UPON TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT
work	AT ON
worm	OF INTO
wrap	ROUND IN WITH ON AROUND
yell	AT
yoke	TO
zero	ON
zoom	ON
abide	IN WITH TAKE-ING AT BY TAKE-INF GIVE-INF-SUBJECT
adapt	FOR TO
addle	WITH
admit	IN TAKE-ING OF TO INTO TAKE-INF GIVE-INF-OBJECT
admix	WITH
adore	TAKE-ING
adorn	WITH
affix	TO
agree	WITH TO ABOUT ON TAKE-INF GIVE-INF-SUBJECT
alert	TO
align	WITH
allot	FOR TO
allow	TAKE-ING TAKE-INF GIVE-INF-OBJECT
alloy	WITH
angle	FOR
annex	TO
annoy	ABOUT
apply	FOR TO
argue	IN FOR WITH TAKE-ING OF ABOUT INTO OVER AGAINST ON TAKE-INF GIVE-INF-OBJECT GIVE-ING-OBJECT
atone	FOR
augur	FOR
avail	OF AGAINST
avert	FROM
avoid	TAKE-ING
awake	TO
award	TO
bandy	WITH
barge	INTO
bathe	IN WITH ON
begin	WITH TAKE-ING TAKE-INF GIVE-INF-SUBJECT
belch	FROM
beset	WITH
blame	FOR ON
blaze	WITH AT
bleat	ABOUT
bleed	FOR OF ON FROM
blend	FOR WITH INTO
blind	TO
blink	TAKE-ING AT
block	WITH
bluff	THROUGH OF
blush	FOR WITH AT TAKE-INF GIVE-INF-SUBJECT
board	OVER UP
boast	OF ABOUT
boost	UP
break	THROUGH IN WITH TAKE-ING OF INTO FROM GIVE-ING-OBJECT
bribe	WITH INTO TAKE-INF GIVE-INF-OBJECT
bring	THROUGH IN FOR TAKE-ING TO INTO AGAINST ON UPON TAKE-INF GIVE-INF-OBJECT GIVE-ING-OBJECT UNDER BEFORE
brood	ABOUT OVER
brush	WITH OVER AGAINST ON ACROSS ONTO
build	FOR TAKE-ING OF INTO ON UPON GIVE-ING-OBJECT OUT
bulge	WITH
bully	TAKE-ING INTO TAKE-INF GIVE-INF-OBJECT GIVE-ING-OBJECT
burst	WITH INTO ON TAKE-INF
cable	TO TAKE-INF GIVE-INF-OBJECT
carry	THROUGH WITH TAKE-ING TO
carve	IN FOR INTO FROM OUT
catch	IN WITH TAKE-ING TO AT ON GIVE-ING-OBJECT OUT
cater	FOR TO AT
cause	FOR TO TAKE-INF GIVE-INF-OBJECT
cavil	AT
cease	TAKE-ING TAKE-INF GIVE-INF-SUBJECT
chaff	ABOUT
champ	AT ON TAKE-INF
chase	ABOUT AFTER
cheat	OF AT ON
check	FOR ON
chide	FOR WITH TAKE-ING GIVE-ING-OBJECT
chime	WITH
choke	WITH
chuck	TO
churn	FOR
claim	FOR ON TAKE-INF GIVE-INF-SUBJECT
clamp	ON
clash	WITH
clean	FOR
clear	FOR OF FROM
click	WITH
climb	OF INTO
cling	TO
cloak	WITH
coach	IN FOR
coast	ALONG
count	TAKE-ING TO ON UPON TAKE-INF GIVE-INF-OBJECT GIVE-ING-OBJECT UP
cover	IN FOR WITH
cozen	TAKE-ING INTO GIVE-ING-OBJECT OUT
crack	AGAINST ON
crave	TAKE-INF GIVE-INF-SUBJECT
crawl	WITH
creep	INTO
croon	TO
cross	TO OFF OVER
crowd	WITH ON ONTO
dally	WITH OVER
dance	FOR WITH
debar	TAKE-ING FROM GIVE-ING-OBJECT
debit	WITH AGAINST
decoy	INTO
deign	TAKE-INF GIVE-INF-SUBJECT
delay	TAKE-ING
delve	INTO AMONG
demur	TO AT
deter	FROM
dirty	WITH
douse	IN WITH
drape	ROUND IN WITH OVER ON AROUND
dread	TAKE-ING TAKE-INF GIVE-INF-SUBJECT
dream	OF ABOUT
drill	INTO
drink	TO
drive	TAKE-INF GIVE-INF-OBJECT
drone	ABOUT
drool	ABOUT OVER
drown	IN WITH
dwell	ON
eject	FROM
elate	BY
elect	TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT
elope	WITH
elute	WITH AT FROM
embed	IN WITH
emend	TAKE-INF GIVE-INF-OBJECT
empty	INTO ONTO
endow	WITH
endue	WITH
enjoy	TAKE-ING
ensue	FROM
enter	WITH INTO ON UPON
equal	IN
equip	FOR WITH TAKE-INF GIVE-INF-OBJECT
essay	TAKE-INF GIVE-INF-SUBJECT
evade	TAKE-ING
evict	FROM
exact	FROM
excel	IN AT
exile	TO
expel	FROM
exult	IN AT TAKE-INF GIVE-INF-SUBJECT
fancy	TAKE-ING TAKE-INF GIVE-INF-OBJECT GIVE-ING-OBJECT
favor	WITH
feast	ON UPON
feint	AT AGAINST ON UPON
fence	WITH
fetch	FOR
fight	FOR WITH ABOUT OVER AGAINST TAKE-INF
flash	TO AT
fleck	WITH
flick	TO OFF
fling	TO ON
flirt	WITH
flood	WITH OF
flush	OF FROM
focus	ON
foist	ON
foray	INTO
force	ON TAKE-INF GIVE-INF-OBJECT FROM OUT
forge	FOR
found	ON UPON
frame	WITH
front	FOR WITH
frown	TAKE-ING AT ON UPON
glare	AT
gloat	OVER
glory	IN
gorge	WITH ON
grace	WITH
graft	ON ONTO
grant	TO
grasp	AT
grate	ON
grill	FOR
grime	WITH
grind	FOR INTO
groan	WITH UNDER
groom	FOR TAKE-INF GIVE-INF-OBJECT
grunt	WITH
guard	AGAINST FROM
guess	AT TAKE-INF
harry	FOR
hatch	FOR
heave	TO AT ON
hedge	WITH
hinge	TAKE-ING ON UPON
hoist	TO
hover	OVER
hunch	OVER
imbed	IN WITH
imbue	WITH
impel	IN INTO TAKE-INF GIVE-INF-OBJECT
infer	FROM
inlay	WITH
inset	IN WITH INTO
inure	TAKE-ING TO GIVE-ING-OBJECT
issue	WITH TO
judge	OF TAKE-INF GIVE-INF-OBJECT
kneel	ON
knife	IN
knock	WITH TAKE-ING TO INTO ON
labor	UNDER
ladle	INTO OUT
lapse	INTO FROM
latch	TO
laugh	AT
leach	OUT
learn	OF ABOUT TAKE-INF GIVE-INF-SUBJECT
lease	FOR TO
leave	FOR WITH TAKE-ING OF TO
level	WITH AT AGAINST
light	FOR ON UPON
liken	TO
limit	TO
lodge	IN WITH AT
lower	TAKE-INF GIVE-INF-OBJECT
major	IN
marry	TO
match	IN FOR WITH AGAINST
merge	WITH INTO
merit	TAKE-ING
model	ON UPON
mount	TO ON
mourn	FOR OVER
mulct	OF
munch	AT
notch	FOR
nurse	THROUGH AT
offer	FOR TO TAKE-INF GIVE-INF-SUBJECT
order	FOR TAKE-INF GIVE-INF-OBJECT
paint	FOR
panic	AT
paper	IN WITH
pause	ON UPON
perch	ON UPON
phone	FOR TO TAKE-INF GIVE-INF-SUBJECT
pilot	THROUGH
pitch	TO INTO
pivot	ON
plank	WITH
plant	IN WITH
plate	WITH
plead	FOR WITH TAKE-INF GIVE-INF-OBJECT
pluck	FOR OFF AT FROM
plume	TAKE-ING ON UPON GIVE-ING-OBJECT
plump	FOR TAKE-ING ON
poach	FOR ON
point	TO AT TAKE-INF TOWARDS
pound	WITH AT AGAINST ON
prate	ABOUT
press	FOR WITH ON UPON TAKE-INF GIVE-INF-OBJECT
price	OF
prick	IN WITH ON
pride	TAKE-ING ON UPON GIVE-ING-OBJECT
prime	WITH
print	WITH
prise	OF
probe	INTO
proof	AGAINST
prove	TO TAKE-INF GIVE-INF-OBJECT
pulse	THROUGH WITH
punch	IN
purge	OF FROM
quail	WITH AT
quake	WITH AT
quest	FOR
queue	FOR
quote	FOR TO FROM
radio	TO
raise	TO FROM
rally	ABOUT ON
range	OVER
reach	FOR FROM
rearm	WITH
rebel	AGAINST
recur	TO
refer	TO
reign	OVER
relay	TO
remit	TO
repay	FOR WITH TAKE-ING TO BY GIVE-ING-OBJECT
reply	FOR TO
revel	IN TAKE-ING
rhyme	WITH
rifle	OF
rinse	OF
rivet	ON
roast	FOR
round	WITH TO BY ON UPON
rouse	TO FROM OUT
route	THROUGH BY
scamp	ON
scare	FROM
scent	WITH
scoff	AT
scold	AT
scoop	OUT
score	FOR WITH TO
scorn	TAKE-ING TAKE-INF GIVE-INF-SUBJECT
scour	THROUGH AFTER
scout	FOR
scowl	AT
screw	OUT
seize	ON UPON
sense	TAKE-INF GIVE-INF-SUBJECT
serve	IN FOR WITH TO ON UNDER
sever	FROM
shack	WITH
shame	TAKE-ING INTO GIVE-ING-OBJECT OUT
shape	FOR INTO TAKE-INF GIVE-INF-OBJECT FROM
share	IN WITH BETWEEN AMONG
shear	OF
shirk	TAKE-ING GIVE-ING-OBJECT
shoot	FOR WITH TO AT TAKE-INF GIVE-INF-SUBJECT
shove	TO
skimp	ON
skirt	ROUND AROUND
slash	WITH AT
slate	FOR TAKE-INF GIVE-INF-OBJECT
sleep	THROUGH WITH ON
slice	TAKE-INF GIVE-INF-OBJECT
slide	TO
sling	TO
smack	OF
smart	OVER UNDER
smear	WITH OVER ON
smell	TAKE-ING OF GIVE-ING-OBJECT
smile	AT ON TAKE-INF GIVE-INF-SUBJECT
snack	ON
sneak	TO ON
sniff	AT
snipe	AT
sound	ABOUT ON
spark	TO INTO
speak	FOR WITH TO ABOUT
spell	WITH
spend	IN FOR TAKE-ING ON
spirt	FROM
split	WITH INTO
spoil	FOR
spoon	INTO
spray	WITH ON
stack	WITH AGAINST ON
staff	WITH
stake	TO ON
stamp	WITH ON
stand	FOR TAKE-ING BY TAKE-INF GIVE-INF-SUBJECT
stare	AT
start	FOR WITH TAKE-ING AT ON TAKE-INF GIVE-INF-SUBJECT GIVE-ING-OBJECT
state	TAKE-INF GIVE-INF-OBJECT
steal	FOR FROM
steel	TAKE-INF GIVE-INF-OBJECT
steep	IN
stick	FOR WITH TO AT
stink	OF
stint	OF
stock	WITH ON
stoop	TAKE-ING TO TAKE-INF GIVE-INF-SUBJECT
storm	AT
stray	ON
strew	IN WITH OVER ON
strip	OFF FROM
strum	ON
stuff	IN WITH INTO ON ONTO
swarm	WITH
swear	TAKE-ING TO AT BY ON TAKE-INF GIVE-INF-SUBJECT
sweep	OF TO
swing	FOR
swipe	AT
swoop	ON UPON
taint	WITH
tally	WITH
taunt	WITH
teach	TAKE-ING TO TAKE-INF GIVE-INF-OBJECT GIVE-ING-OBJECT
tempt	TAKE-INF GIVE-INF-OBJECT
tenon	WITH TO
thank	FOR TAKE-INF GIVE-INF-OBJECT
think	TAKE-ING OF ABOUT TAKE-INF
throw	TO AT OVER ON UPON
thrum	ON
thumb	THROUGH
toady	TO
toast	FOR
touch	FOR ON UPON TAKE-INF
tower	OVER ABOVE
trade	FOR WITH TO AT ON UPON
trail	BEHIND
train	FOR ON UPON TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT
treat	FOR WITH OF TO
trick	TAKE-ING INTO GIVE-ING-OBJECT
troll	FOR
truck	TO FROM
trust	IN TO TAKE-INF GIVE-INF-OBJECT
tutor	IN
twirl	AROUND
twist	ROUND AROUND
value	AT
vaunt	OF ABOUT
verge	ON UPON
vouch	FOR
wager	ON
waltz	WITH
waste	TAKE-ING ON
watch	FOR TAKE-ING AT BY TAKE-INF GIVE-INF-OBJECT GIVE-INF-SUBJECT GIVE-ING-OBJECT
waver	TAKE-ING BETWEEN
weave	FOR INTO
wedge	INTO
welsh	ON
whirl	AROUND
wince	AT
worry	ABOUT AT OVER TAKE-INF GIVE-INF-OBJECT
wreak	ON
write	FOR TAKE-ING TO TAKE-INF GIVE-INF-SUBJECT
yearn	FOR TAKE-INF GIVE-INF-SUBJECT
yield	TO
abound	IN WITH
absent	FROM
accede	TO
accord	WITH TO
accuse	OF
acquit	OF ON
addict	TO
adduce	FOR
adhere	TO
adjure	TAKE-INF GIVE-INF-OBJECT
adjust	TO
admire	FOR
advise	TAKE-ING OF ON TAKE-INF GIVE-INF-OBJECT
affect	TAKE-INF GIVE-INF-SUBJECT
afford	TO TAKE-INF GIVE-INF-SUBJECT
alight	ON UPON FROM
allege	TAKE-INF GIVE-INF-OBJECT
allude	TO
allure	TAKE-ING INTO TAKE-INF GIVE-INF-OBJECT GIVE-ING-OBJECT
anchor	TO
anneal	TO
anoint	WITH
answer	FOR WITH TO
appeal	FOR TO
appear	FOR
append	TO
arrive	AT
aspire	TO AFTER TAKE-INF GIVE-INF-SUBJECT
assail	WITH
assent	TO TAKE-INF GIVE-INF-SUBJECT
assert	TAKE-INF GIVE-INF-OBJECT
assess	AT
assign	FOR TO TAKE-INF GIVE-INF-OBJECT
assist	IN TAKE-INF GIVE-INF-OBJECT
assume	TAKE-INF GIVE-INF-OBJECT
assure	OF
attach	TO
attain	TO
attend	TO ON
attire	IN
attune	TO
avenge	ON UPON
avulse	FROM
awaken	TO
